Start Station,End Station,Start Line,End Line,Travel Time (minutes)
Noida Sector 15,Dwarka Sector 21,Blue Line,Blue Line,13
Noida Sector 15,Botanical Garden,Blue Line,Blue Line,40
Noida Sector 15,Dwarka Sector 8,Blue Line,Blue Line,15
Noida Sector 15,Dwarka Sector 9,Blue Line,Blue Line,16
Noida Sector 15,Dwarka,Blue Line,Blue Line,18
Noida Sector 15,Noida Electronic City,Blue Line,Blue Line,35
Noida Sector 15,Dwarka Sector 10,Blue Line,Blue Line,18
Noida Sector 15,Dwarka Sector 11,Blue Line,Blue Line,19
Noida Sector 15,New Ashok Nagar,Blue Line,Blue Line,37
Noida Sector 15,Dwarka Sector 12,Blue Line,Blue Line,20
Noida Sector 15,Mayur Vihar Extension,Blue Line,Blue Line,37
Noida Sector 15,Dwarka Sector 13,Blue Line,Blue Line,21
Noida Sector 15,Golf Course,Blue Line,Blue Line,23
Noida Sector 15,Dwarka Sector 14,Blue Line,Blue Line,23
Noida Sector 15,Mayur Vihar -I,Blue Line,Blue Line,37
Noida Sector 15,Akshardham,Blue Line,Blue Line,37
Noida Sector 15,Dwarka Mor,Blue Line,Blue Line,25
Noida Sector 15,Nawada,Blue Line,Blue Line,24
Noida Sector 15,Indraprastha,Blue Line,Blue Line,34
Noida Sector 15,Uttam Nagar West,Blue Line,Blue Line,24
Noida Sector 15,Supreme Court,Blue Line,Blue Line,33
Noida Sector 15,Yamuna Bank,Blue Line,Blue Line,36
Noida Sector 15,Uttam Nagar East,Blue Line,Blue Line,25
Noida Sector 15,Mandi House,Blue Line,Blue Line,33
Noida Sector 15,Janakpuri West,Blue Line,Blue Line,25
Noida Sector 15,Barakhambha Road,Blue Line,Blue Line,33
Noida Sector 15,Janakpuri East,Blue Line,Blue Line,26
Noida Sector 15,Tilak Nagar,Blue Line,Blue Line,27
Noida Sector 15,Ramakrishna Ashram Marg,Blue Line,Blue Line,33
Noida Sector 15,Subhash Nagar,Blue Line,Blue Line,28
Noida Sector 15,Rajouri Garden,Blue Line,Blue Line,28
Noida Sector 15,Rajendra Place,Blue Line,Blue Line,31
Noida Sector 15,Tagore Garden,Blue Line,Blue Line,28
Noida Sector 15,Karol Bagh,Blue Line,Blue Line,32
Noida Sector 15,Jhandewalan,Blue Line,Blue Line,33
Noida Sector 15,Patel Nagar,Blue Line,Blue Line,31
Noida Sector 15,Shadipur,Blue Line,Blue Line,31
Noida Sector 15,Ramesh Nagar,Blue Line,Blue Line,30
Noida Sector 15,Kirti Nagar†,Blue Line,Blue Line,30
Noida Sector 15,Moti Nagar,Blue Line,Blue Line,31
Noida Sector 15,Laxmi Nagar,Blue Line,Blue Line branch,38
Noida Sector 15,Nirman Vihar,Blue Line,Blue Line branch,40
Noida Sector 15,Preet Vihar,Blue Line,Blue Line branch,41
Noida Sector 15,Vaishali,Blue Line,Blue Line branch,28
Noida Sector 15,Kaushambi,Blue Line,Blue Line branch,45
Noida Sector 15,Anand Vihar ISBT,Blue Line,Blue Line branch,44
Noida Sector 15,Karkarduma,Blue Line,Blue Line branch,43
Noida Sector 15,Punjabi Bagh,Blue Line,Green Line,33
Noida Sector 15,Ashok Park Main,Blue Line,Green Line,34
Noida Sector 15,Shivaji Park,Blue Line,Green Line,34
Noida Sector 15,Madipur,Blue Line,Green Line,34
Noida Sector 15,Paschim Vihar East,Blue Line,Green Line,34
Noida Sector 15,Paschim Vihar West,Blue Line,Green Line,34
Noida Sector 15,Peera Garhi,Blue Line,Green Line,34
Noida Sector 15,Udyog Nagar,Blue Line,Green Line,34
Noida Sector 15,Nangloi Railway station,Blue Line,Green Line,34
Noida Sector 15,Rajdhani Park,Blue Line,Green Line,35
Noida Sector 15,Nangloi,Blue Line,Green Line,34
Noida Sector 15,Mundka,Blue Line,Green Line,35
Noida Sector 15,Mundka Industrial Area,Blue Line,Green Line,36
Noida Sector 15,Ghevra,Blue Line,Green Line,37
Noida Sector 15,Tikri Kalan,Blue Line,Green Line,38
Noida Sector 15,Tikri Border,Blue Line,Green Line,39
Noida Sector 15,Pandit Shree Ram Sharma,Blue Line,Green Line,40
Noida Sector 15,Bahadurgarh City,Blue Line,Green Line,42
Noida Sector 15,Brigadier Hoshiyar Singh,Blue Line,Green Line,44
Noida Sector 15,Satguru Ramsingh Marg,Blue Line,Green Line branch,33
Noida Sector 15,Najafgarh,Blue Line,Grey Line,27
Noida Sector 15,Nangli,Blue Line,Grey Line,26
Noida Sector 15,Chirag Delhi,Blue Line,Magenta Line,24
Noida Sector 15,Greater Kailash,Blue Line,Magenta Line,25
Noida Sector 15,Panchsheel Park,Blue Line,Magenta Line,22
Noida Sector 15,Kalindi Kunj,Blue Line,Magenta Line,35
Noida Sector 15,Jasola Vihar Shaheen Bagh,Blue Line,Magenta Line,33
Noida Sector 15,Nehru Enclave,Blue Line,Magenta Line,27
Noida Sector 15,R.K.Puram,Blue Line,Magenta Line,19
Noida Sector 15,Okhla Bird Sanctuary,Blue Line,Magenta Line,37
Noida Sector 15,Okhla NSIC,Blue Line,Magenta Line,30
Noida Sector 15,Munirka,Blue Line,Magenta Line,18
Noida Sector 15,Shankar Vihar,Blue Line,Magenta Line,16
Noida Sector 15,Jamia Millia Islamia,Blue Line,Magenta Line,32
Noida Sector 15,Sukhdev Vihar,Blue Line,Magenta Line,31
Noida Sector 15,Vasant Vihar,Blue Line,Magenta Line,18
Noida Sector 15,Okhla Vihar,Blue Line,Magenta Line,34
Noida Sector 15,Sadar Bazaar Cantonment,Blue Line,Magenta Line,17
Noida Sector 15,Palam,Blue Line,Magenta Line,19
Noida Sector 15,Dashrath Puri,Blue Line,Magenta Line,21
Noida Sector 15,Dabri Mor-Janakpuri South,Blue Line,Magenta Line,23
Noida Sector 15,Delhi Aerocity,Blue Line,Orange Line,13
Noida Sector 15,Indira Gandhi International Airport,Blue Line,Orange Line,13
Noida Sector 15,Dhaula Kuan,Blue Line,Orange Line,22
Noida Sector 15,Shivaji Stadium,Blue Line,Orange Line,32
Noida Sector 15,Vinobapuri,Blue Line,Pink Line,29
Noida Sector 15,Bhikaji Cama Place,Blue Line,Pink Line,21
Noida Sector 15,Ashram,Blue Line,Pink Line,30
Noida Sector 15,Sarojini Nagar,Blue Line,Pink Line,23
Noida Sector 15,Sir Vishweshwaraiah Moti Bagh,Blue Line,Pink Line,22
Noida Sector 15,Hazrat Nizamuddin,Blue Line,Pink Line,32
Noida Sector 15,Durgabai Deshmukh South Campus,Blue Line,Pink Line,22
Noida Sector 15,Delhi Cantonment,Blue Line,Pink Line,21
Noida Sector 15,Mayur Vihar Pocket I,Blue Line,Pink Line,38
Noida Sector 15,Trilokpuri Sanjay Lake,Blue Line,Pink Line,40
Noida Sector 15,Shiv Vihar,Blue Line,Pink Line,24
Noida Sector 15,East Vinod Nagar – Mayur Vihar-II,Blue Line,Pink Line,40
Noida Sector 15,Mandawali – West Vinod Nagar,Blue Line,Pink Line,41
Noida Sector 15,Naraina Vihar,Blue Line,Pink Line,26
Noida Sector 15,IP Extension,Blue Line,Pink Line,42
Noida Sector 15,Mayapuri,Blue Line,Pink Line,27
Noida Sector 15,South,Blue Line,Pink Line,35
Noida Sector 15,Karkarduma Court,Blue Line,Pink Line,43
Noida Sector 15,Krishna Nagar,Blue Line,Pink Line,43
Noida Sector 15,ESI Hospital,Blue Line,Pink Line,31
Noida Sector 15,East Azad Nagar,Blue Line,Pink Line,43
Noida Sector 15,Punjabi Bagh West,Blue Line,Pink Line,33
Noida Sector 15,Jaffrabad,Blue Line,Pink Line,44
Noida Sector 15,Shakurpur,Blue Line,Pink Line,36
Noida Sector 15,Maujpur-Babarpur,Blue Line,Pink Line,46
Noida Sector 15,Gokulpuri,Blue Line,Pink Line,48
Noida Sector 15,Shalimar Bagh,Blue Line,Pink Line,41
Noida Sector 15,Majlis Park,Blue Line,Pink Line,44
Noida Sector 15,Shaheed Nagar,Blue Line,Red Line,21
Noida Sector 15,Mohan Nagar,Blue Line,Red Line,22
Noida Sector 15,Raj Bagh,Blue Line,Red Line,33
Noida Sector 15,Inderlok,Blue Line,Red Line,35
Noida Sector 15,Kashmere Gate,Blue Line,Red Line,35
Noida Sector 15,Welcome,Blue Line,Red Line,35
Noida Sector 15,Pul Bangash,Blue Line,Red Line,36
Noida Sector 15,Pratap Nagar,Blue Line,Red Line,36
Noida Sector 15,Tis Hazari,Blue Line,Red Line,37
Noida Sector 15,Shastri Park,Blue Line,Red Line,40
Noida Sector 15,Seelampur,Blue Line,Red Line,42
Noida Sector 15,Shastri Nagar,Blue Line,Red Line,35
Noida Sector 15,Shaheed Sthal,Blue Line,Red Line,58
Noida Sector 15,Shahdara,Blue Line,Red Line,44
Noida Sector 15,Jhilmil,Blue Line,Red Line,47
Noida Sector 15,Mansarovar Park,Blue Line,Red Line,46
Noida Sector 15,Dilshad Garden,Blue Line,Red Line,48
Noida Sector 15,Arthala,Blue Line,Red Line,56
Noida Sector 15,Major Mohit Sharma,Blue Line,Red Line,52
Noida Sector 15,Kanhaiya Nagar,Blue Line,Red Line,36
Noida Sector 15,Keshav Puram,Blue Line,Red Line,37
Noida Sector 15,Netaji Subhash Place,Blue Line,Red Line,38
Noida Sector 15,Kohat Enclave,Blue Line,Red Line,38
Noida Sector 15,Shyam Park,Blue Line,Red Line,46
Noida Sector 15,Pitam Pura,Blue Line,Red Line,38
Noida Sector 15,Rohini East,Blue Line,Red Line,39
Noida Sector 15,Rohini West,Blue Line,Red Line,40
Noida Sector 15,Rithala,Blue Line,Red Line,41
Noida Sector 15,Hindon,Blue Line,Red Line,83
Noida Sector 15,Lal Qila,Blue Line,Violet Line,1763
Noida Sector 15,Raja Nahar Singh,Blue Line,Violet Line,42
Noida Sector 15,Sant Surdas (Sihi),Blue Line,Violet Line,40
Noida Sector 15,Escorts Mujesar,Blue Line,Violet Line,39
Noida Sector 15,Bata Chowk,Blue Line,Violet Line,38
Noida Sector 15,Neelam Chowk Ajronda,Blue Line,Violet Line,37
Noida Sector 15,Mewala Maharajpur,Blue Line,Violet Line,33
Noida Sector 15,Badarpur Border,Blue Line,Violet Line,33
Noida Sector 15,Tughlakabad Station,Blue Line,Violet Line,32
Noida Sector 15,Mohan Estate,Blue Line,Violet Line,32
Noida Sector 15,Sarita Vihar,Blue Line,Violet Line,31
Noida Sector 15,Jasola Apollo,Blue Line,Violet Line,31
Noida Sector 15,Harkesh Nagar Okhla,Blue Line,Violet Line,30
Noida Sector 15,Govind Puri,Blue Line,Violet Line,29
Noida Sector 15,Sector 28,Blue Line,Violet Line,14
Noida Sector 15,Nehru Place,Blue Line,Violet Line,28
Noida Sector 15,Kalkaji Mandir,Blue Line,Violet Line,29
Noida Sector 15,Kailash Colony,Blue Line,Violet Line,27
Noida Sector 15,Moolchand,Blue Line,Violet Line,26
Noida Sector 15,Lajpat Nagar,Blue Line,Violet Line,27
Noida Sector 15,Jangpura,Blue Line,Violet Line,29
Noida Sector 15,Jawaharlal Nehru Stadium,Blue Line,Violet Line,28
Noida Sector 15,Khan Market,Blue Line,Violet Line,29
Noida Sector 15,Janpath,Blue Line,Violet Line,29
Noida Sector 15,ITO,Blue Line,Violet Line,34
Noida Sector 15,Delhi Gate,Blue Line,Violet Line,35
Noida Sector 15,Jama Masjid,Blue Line,Violet Line,37
Noida Sector 15,Sarai,Blue Line,Violet Line,35
Noida Sector 15,HUDA City Centre,Blue Line,Yellow Line,5
Noida Sector 15,Sultanpur,Blue Line,Yellow Line,32
Noida Sector 15,IFFCO Chowk,Blue Line,Yellow Line,3
Noida Sector 15,MG Road,Blue Line,Yellow Line,1
Noida Sector 15,Arjan Garh,Blue Line,Yellow Line,6
Noida Sector 15,Sikandarpur,Blue Line,Yellow Line,2
Noida Sector 15,Guru Dronacharya,Blue Line,Yellow Line,3
Noida Sector 15,Ghitorni,Blue Line,Yellow Line,10
